"3302055001DO001_20112013 Life Tables, States, Territories and Australia, 2011-2013",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,BMI,<25...14,2529...15,3034...16,3539...17,40+...18,<25...19,2529...20,3034...21,3539...22,40+...23,<25...24,2529...25,3034...26,3539...27,40+...28,<25...29,2529...30,3034...31,3539...32,40+...33
Released at 11:30 am (Canberra time) Thurs 6 Nov 2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HR for BMI,1,1.3,1.6900000000000002,2.1970000000000005,2.8561000000000005,1,1.3,1.6900000000000002,2.1970000000000005,2.8561000000000005,1,1.3,1.6900000000000002,2.1970000000000005,2.8561000000000005,1,1.3,1.6900000000000002,2.1970000000000005,2.8561000000000005
"Table 1.9 Life Tables, Australia, 2011–2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prevalence,0.246,0.45200000000000001,0.20699999999999999,6.6000000000000003E-2,2.9000000000000001E-2,0.246,0.45200000000000001,0.20699999999999999,6.6000000000000003E-2,2.9000000000000001E-2,0.246,0.45200000000000001,0.20699999999999999,6.6000000000000003E-2,2.9000000000000001E-2,0.246,0.45200000000000001,0.20699999999999999,6.6000000000000003E-2,2.9000000000000001E-2
NA,Males,NA,NA,NA,Females,NA,NA,NA,NA,NA,NA,HR for low SEP,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1,1,1,1,1,1.39,1.39,1.39,1.39,1.39
NA,lx,qx,Lx,ex,lx,qx,Lx,ex,NA,qx,NA,Prevalence,0.52600000000000002,0.56699999999999995,0.47699999999999998,0.45,0.59199999999999997,NA,NA,NA,NA,NA,0.52600000000000002,0.56699999999999995,0.47699999999999998,0.45,0.59199999999999997,NA,NA,NA,NA,NA
Age,no.,rate,no.,years,no.,rate,no.,years,NA,male,female,NA,male_sep1_bmi0,male_sep1_bmi1,male_sep1_bmi2,male_sep1_bmi3,male_sep1_bmi4,male_sep0_bmi0,male_sep0_bmi1,male_sep0_bmi2,male_sep0_bmi3,male_sep0_bmi4,female_sep1_bmi0,female_sep1_bmi1,female_sep1_bmi2,female_sep1_bmi3,female_sep1_bmi4,female_sep0_bmi0,female_sep0_bmi1,female_sep0_bmi2,female_sep0_bmi3,female_sep0_bmi4
19,99251,5.9000000000000003E-4,99222,61.6,99427,2.7E-4,99413,65.8,NA,5.9000000000000003E-4,2.7E-4,NA,3.5284037875057131E-4,4.5869249237574274E-4,5.9630024008846562E-4,7.7519031211500532E-4,1.0077474057495069E-3,4.9044812646329415E-4,6.3758256440228243E-4,8.2885733372296724E-4,1.0775145338398574E-3,1.4007688939918148E-3,1.9131854544903137E-4,2.4871410908374077E-4,3.2332834180886307E-4,4.2032684435152202E-4,5.4642489765697859E-4,2.6593277817415362E-4,3.4571261162639973E-4,4.4942639511431963E-4,5.8425431364861563E-4,7.5953060774320029E-4
20,99193,6.2E-4,99162,60.7,99400,2.7E-4,99386,64.8,NA,6.2E-4,2.7E-4,NA,3.7078141495822743E-4,4.8201583944569571E-4,6.2662059127940439E-4,8.146067686632259E-4,1.0589887992621936E-3,5.1538616679193611E-4,6.70002016829517E-4,8.710026218783721E-4,1.1323034084418839E-3,1.471994430974449E-3,1.9131854544903137E-4,2.4871410908374077E-4,3.2332834180886307E-4,4.2032684435152202E-4,5.4642489765697859E-4,2.6593277817415362E-4,3.4571261162639973E-4,4.4942639511431963E-4,5.8425431364861563E-4,7.5953060774320029E-4
21,99131,6.3000000000000003E-4,99099,59.7,99373,2.7E-4,99359,63.8,NA,6.3000000000000003E-4,2.7E-4,NA,3.7676176036077947E-4,4.8979028846901336E-4,6.3672737500971742E-4,8.2774558751263268E-4,1.0760692637664224E-3,5.2369884690148347E-4,6.8080850097192852E-4,8.850510512635072E-4,1.1505663666425594E-3,1.4957362766353272E-3,1.9131854544903137E-4,2.4871410908374077E-4,3.2332834180886307E-4,4.2032684435152202E-4,5.4642489765697859E-4,2.6593277817415362E-4,3.4571261162639973E-4,4.4942639511431963E-4,5.8425431364861563E-4,7.5953060774320029E-4
22,99068,6.3000000000000003E-4,99037,58.7,99346,2.7E-4,99333,62.8,NA,6.3000000000000003E-4,2.7E-4,NA,3.7676176036077947E-4,4.8979028846901336E-4,6.3672737500971742E-4,8.2774558751263268E-4,1.0760692637664224E-3,5.2369884690148347E-4,6.8080850097192852E-4,8.850510512635072E-4,1.1505663666425594E-3,1.4957362766353272E-3,1.9131854544903137E-4,2.4871410908374077E-4,3.2332834180886307E-4,4.2032684435152202E-4,5.4642489765697859E-4,2.6593277817415362E-4,3.4571261162639973E-4,4.4942639511431963E-4,5.8425431364861563E-4,7.5953060774320029E-4
23,99006,6.3000000000000003E-4,98975,57.8,99320,2.5999999999999998E-4,99307,61.9,NA,6.3000000000000003E-4,2.5999999999999998E-4,NA,3.7676176036077947E-4,4.8979028846901336E-4,6.3672737500971742E-4,8.2774558751263268E-4,1.0760692637664224E-3,5.2369884690148347E-4,6.8080850097192852E-4,8.850510512635072E-4,1.1505663666425594E-3,1.4957362766353272E-3,1.8423267339536353E-4,2.3950247541397259E-4,3.113532180381644E-4,4.0475918344961377E-4,5.261869384844979E-4,2.5608341601955528E-4,3.3290844082542188E-4,4.3278097307304848E-4,5.6261526499496307E-4,7.3139984449345193E-4
24,98944,6.4000000000000005E-4,98912,56.8,99294,2.5999999999999998E-4,99281,60.9,NA,6.4000000000000005E-4,2.5999999999999998E-4,NA,3.8274210576333157E-4,4.9756473749233102E-4,6.4683415874003045E-4,8.4088440636203969E-4,1.0931497282706515E-3,5.3201152701103083E-4,6.9161498511434015E-4,8.9909948064864219E-4,1.1688293248432349E-3,1.5194781222962054E-3,1.8423267339536353E-4,2.3950247541397259E-4,3.113532180381644E-4,4.0475918344961377E-4,5.261869384844979E-4,2.5608341601955528E-4,3.3290844082542188E-4,4.3278097307304848E-4,5.6261526499496307E-4,7.3139984449345193E-4
25,98880,6.7000000000000002E-4,98848,55.8,99268,2.5999999999999998E-4,99255,59.9,NA,6.7000000000000002E-4,2.5999999999999998E-4,NA,4.0068314197098774E-4,5.208880845622841E-4,6.7715450993096932E-4,8.8030086291026027E-4,1.1443911217833382E-3,5.569495673396729E-4,7.2403443754157483E-4,9.4124476880404727E-4,1.2236181994452616E-3,1.59070365927884E-3,1.8423267339536353E-4,2.3950247541397259E-4,3.113532180381644E-4,4.0475918344961377E-4,5.261869384844979E-4,2.5608341601955528E-4,3.3290844082542188E-4,4.3278097307304848E-4,5.6261526499496307E-4,7.3139984449345193E-4
26,98814,6.9999999999999999E-4,98780,54.9,99243,2.5999999999999998E-4,99230,58.9,NA,6.9999999999999999E-4,2.5999999999999998E-4,NA,4.1862417817864386E-4,5.4421143163223707E-4,7.0747486112190819E-4,9.1971731945848074E-4,1.1956325152960249E-3,5.8188760766831487E-4,7.564538899688094E-4,9.8339005695945213E-4,1.2784070740472881E-3,1.6619291962614744E-3,1.8423267339536353E-4,2.3950247541397259E-4,3.113532180381644E-4,4.0475918344961377E-4,5.261869384844979E-4,2.5608341601955528E-4,3.3290844082542188E-4,4.3278097307304848E-4,5.6261526499496307E-4,7.3139984449345193E-4
27,98745,7.2000000000000005E-4,98710,53.9,99217,2.7E-4,99204,57.9,NA,7.2000000000000005E-4,2.7E-4,NA,4.3058486898374799E-4,5.5976032967887238E-4,7.2768842858253414E-4,9.4599495715729453E-4,1.2297934443044828E-3,5.985129678874097E-4,7.7806685825363266E-4,1.0114869157297225E-3,1.3149329904486393E-3,1.7094128875832311E-3,1.9131854544903137E-4,2.4871410908374077E-4,3.2332834180886307E-4,4.2032684435152202E-4,5.4642489765697859E-4,2.6593277817415362E-4,3.4571261162639973E-4,4.4942639511431963E-4,5.8425431364861563E-4,7.5953060774320029E-4
28,98674,7.3999999999999999E-4,98637,53,99190,2.9E-4,99176,56.9,NA,7.3999999999999999E-4,2.9E-4,NA,4.4254555978885207E-4,5.753092277255077E-4,7.4790199604316009E-4,9.7227259485610821E-4,1.2639543733129405E-3,6.1513832810650431E-4,7.996798265384556E-4,1.0395837744999923E-3,1.3514589068499903E-3,1.7568965789049873E-3,2.0549028955636701E-4,2.6713737642327712E-4,3.4727858935026029E-4,4.5146216615533843E-4,5.8690081600193996E-4,2.8563150248335013E-4,3.7132095322835515E-4,4.8271723919686177E-4,6.2753241095592032E-4,8.1579213424269647E-4
29,98600,7.6000000000000004E-4,98563,52,99162,3.2000000000000003E-4,99146,55.9,NA,7.6000000000000004E-4,3.2000000000000003E-4,NA,4.5450625059395626E-4,5.9085812577214312E-4,7.6811556350378615E-4,9.9855023255492211E-4,1.2981153023213987E-3,6.3176368832559913E-4,8.2129279482327886E-4,1.0676806332702627E-3,1.3879848232513415E-3,1.8043802702267439E-3,2.2674790571737053E-4,2.9477227743258168E-4,3.8320396066235623E-4,4.9816514886106319E-4,6.4761469351938214E-4,3.1517958894714503E-4,4.0973346563128853E-4,5.3265350532067518E-4,6.9244955691687778E-4,9.0018442399194111E-4
30,98525,7.9000000000000001E-4,98487,51,99130,3.6000000000000002E-4,99113,55,NA,7.9000000000000001E-4,3.6000000000000002E-4,NA,4.7244728680161238E-4,6.1418147284209609E-4,7.9843591469472503E-4,1.0379666891031426E-3,1.3493566958340854E-3,6.5670172865424121E-4,8.5371224725051364E-4,1.1098259214256678E-3,1.4427736978533683E-3,1.8756058072093786E-3,2.5509139393204181E-4,3.316188121116544E-4,4.3110445574515068E-4,5.6043579246869599E-4,7.2856653020930478E-4,3.545770375655381E-4,4.6095014883519955E-4,5.9923519348575947E-4,7.7900575153148736E-4,1.0127074769909336E-3
