"3302055001DO001_20112013 Life Tables, States, Territories and Australia, 2011-2013",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,BMI,<25...14,2529...15,3034...16,3539...17,40+...18,<25...19,2529...20,3034...21,3539...22,40+...23,<25...24,2529...25,3034...26,3539...27,40+...28,<25...29,2529...30,3034...31,3539...32,40+...33
Released at 11:30 am (Canberra time) Thurs 6 Nov 2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HR for BMI,1,1.3,1.6900000000000002,2.1970000000000005,2.8561000000000005,1,1.3,1.6900000000000002,2.1970000000000005,2.8561000000000005,1,1.3,1.6900000000000002,2.1970000000000005,2.8561000000000005,1,1.3,1.6900000000000002,2.1970000000000005,2.8561000000000005
"Table 1.9 Life Tables, Australia, 2011–2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prevalence,0.246,0.45200000000000001,0.20699999999999999,6.6000000000000003E-2,2.9000000000000001E-2,0.246,0.45200000000000001,0.20699999999999999,6.6000000000000003E-2,2.9000000000000001E-2,0.246,0.45200000000000001,0.20699999999999999,6.6000000000000003E-2,2.9000000000000001E-2,0.246,0.45200000000000001,0.20699999999999999,6.6000000000000003E-2,2.9000000000000001E-2
NA,Males,NA,NA,NA,Females,NA,NA,NA,NA,NA,NA,HR for low SEP,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1,1,1,1,1,1.39,1.39,1.39,1.39,1.39
NA,lx,qx,Lx,ex,lx,qx,Lx,ex,NA,qx,NA,Prevalence,0.52600000000000002,0.56699999999999995,0.47699999999999998,0.45,0.59199999999999997,NA,NA,NA,NA,NA,0.52600000000000002,0.56699999999999995,0.47699999999999998,0.45,0.59199999999999997,NA,NA,NA,NA,NA
Age,no.,rate,no.,years,no.,rate,no.,years,NA,male,female,NA,male_sep1_bmi0,male_sep1_bmi1,male_sep1_bmi2,male_sep1_bmi3,male_sep1_bmi4,male_sep0_bmi0,male_sep0_bmi1,male_sep0_bmi2,male_sep0_bmi3,male_sep0_bmi4,female_sep1_bmi0,female_sep1_bmi1,female_sep1_bmi2,female_sep1_bmi3,female_sep1_bmi4,female_sep0_bmi0,female_sep0_bmi1,female_sep0_bmi2,female_sep0_bmi3,female_sep0_bmi4
41,97420,1.4300000000000001E-3,97352,40.5,98544,8.5999999999999998E-4,98502,44.3,NA,1.4300000000000001E-3,8.5999999999999998E-4,NA,8.5518939256494389E-4,1.111746210334427E-3,1.4452700734347553E-3,1.8788510954651822E-3,2.4425064241047367E-3,1.1887132556652718E-3,1.5453272323648535E-3,2.0089254020743096E-3,2.6116030226966029E-3,3.3950839295055833E-3,6.0938499661543322E-4,7.9220049560006322E-4,1.0298606442800823E-3,1.3388188375641071E-3,1.7404644888333392E-3,8.4704514529545215E-4,1.1011586888840879E-3,1.4315062955493143E-3,1.8609581842141088E-3,2.4192456394783414E-3
42,97281,1.5299999999999999E-3,97208,39.6,98459,9.3000000000000005E-4,98414,43.3,NA,1.5299999999999999E-3,9.3000000000000005E-4,NA,9.1499284659046429E-4,1.1894907005676036E-3,1.5463379107378849E-3,2.0102392839592507E-3,2.6133110691470255E-3,1.2718400567607452E-3,1.6533920737889687E-3,2.1494096959256597E-3,2.7942326047033579E-3,3.632502386114365E-3,6.5898610099110802E-4,8.5668193128844044E-4,1.1136865106749726E-3,1.4477924638774647E-3,1.8821302030407039E-3,9.1599068037764007E-4,1.1907878844909321E-3,1.5480242498382118E-3,2.0124315247896755E-3,2.6161609822265785E-3
43,97132,1.65E-3,97053,38.700000000000003,98367,1.0200000000000001E-3,98318,42.3,NA,1.65E-3,1.0200000000000001E-3,NA,9.867569914210892E-4,1.2827840888474161E-3,1.6676193155016408E-3,2.1679051101521334E-3,2.8182766431977735E-3,1.3715922180753139E-3,1.7830698834979081E-3,2.3179908485472809E-3,3.0133881031114652E-3,3.9174045340449049E-3,7.2275894947411857E-4,9.3958663431635418E-4,1.2214626246112605E-3,1.5879014119946388E-3,2.0642718355930304E-3,1.0046349397690247E-3,1.3060254216997321E-3,1.6978330482096519E-3,2.2071829626725478E-3,2.8693378514743116E-3
44,96972,1.7799999999999999E-3,96887,37.700000000000003,98267,1.1100000000000001E-3,98214,41.4,NA,1.7799999999999999E-3,1.1100000000000001E-3,NA,1.0645014816542658E-3,1.3838519261505455E-3,1.7990075039957094E-3,2.3387097551944226E-3,3.0403226817527491E-3,1.4796570594994294E-3,1.9235541773492582E-3,2.5006204305540358E-3,3.2508065597202469E-3,4.2260485276363214E-3,7.8653179795712901E-4,1.0224913373442677E-3,1.3292387385475482E-3,1.7280103601118129E-3,2.2464134681453567E-3,1.0932791991604093E-3,1.4212629589085322E-3,1.8476418465810918E-3,2.4019344005554197E-3,3.1225147207220453E-3
45,96800,1.92E-3,96708,36.799999999999997,98158,1.2099999999999999E-3,98100,40.4,NA,1.92E-3,1.2099999999999999E-3,NA,1.1482263172899946E-3,1.4926942124769932E-3,1.9405024762200911E-3,2.5226532190861187E-3,3.2794491848119542E-3,1.5960345810330924E-3,2.0748449553430201E-3,2.6972984419459264E-3,3.5064879745297047E-3,4.5584343668886159E-3,8.5739051849380711E-4,1.1146076740419493E-3,1.4489899762545342E-3,1.8836869691308948E-3,2.448793059870163E-3,1.1917728207063917E-3,1.5493046669183093E-3,2.0140960669938024E-3,2.6183248870919433E-3,3.403822353219526E-3
46,96614,2.0799999999999998E-3,96515,35.9,98040,1.31E-3,97977,39.5,NA,2.0799999999999998E-3,1.31E-3,NA,1.2439118437308275E-3,1.6170853968500759E-3,2.1022110159050985E-3,2.7328743206766286E-3,3.5527366168796172E-3,1.7290374627858501E-3,2.2477487016216054E-3,2.9220733121080871E-3,3.7986953057405136E-3,4.9383038974626673E-3,9.2824923903048542E-4,1.2067240107396311E-3,1.5687412139615206E-3,2.0393635781499769E-3,2.6511726515949701E-3,1.2902664422523747E-3,1.6773463749280872E-3,2.1805502874065134E-3,2.8347153736284678E-3,3.6851299857170081E-3
47,96413,2.2599999999999999E-3,96305,34.9,97912,1.42E-3,97843,38.5,NA,2.2599999999999999E-3,1.42E-3,NA,1.3515580609767643E-3,1.7570254792697937E-3,2.2841331230507318E-3,2.9693730599659519E-3,3.8601849779557372E-3,1.8786657047577023E-3,2.442265416185013E-3,3.1749450410405171E-3,4.1274285533526734E-3,5.3656571193584747E-3,1.0061938316208317E-3,1.3080519811070814E-3,1.7004675754392058E-3,2.2106078480709679E-3,2.873790202492258E-3,1.3986094259529559E-3,1.8181922537388428E-3,2.3636499298604957E-3,3.072744908818645E-3,3.9945683814642382E-3
48,96195,2.4599999999999999E-3,96078,34,97773,1.5399999999999999E-3,97698,37.6,NA,2.4599999999999999E-3,1.5399999999999999E-3,NA,1.4711649690278055E-3,1.9125144597361473E-3,2.4862687976569915E-3,3.2321494369540894E-3,4.2017942680403165E-3,2.0449193069486497E-3,2.6583950990332447E-3,3.4559136287432182E-3,4.4926877173661842E-3,5.8404940325760398E-3,1.0912242962648456E-3,1.4185915851442992E-3,1.8441690606875892E-3,2.3974197788938661E-3,3.1166457125620258E-3,1.5168017718081353E-3,1.9718423033505761E-3,2.5633949943557489E-3,3.332413492662474E-3,4.3321375404612164E-3
49,95959,2.6700000000000001E-3,95832,33.1,97622,1.67E-3,97542,36.6,NA,2.6700000000000001E-3,1.67E-3,NA,1.5967522224813986E-3,2.0757778892258184E-3,2.6985112559935638E-3,3.5080646327916337E-3,4.5604840226291235E-3,2.219485589249144E-3,2.8853312660238875E-3,3.750930645831054E-3,4.8762098395803708E-3,6.3390727914544812E-3,1.1833406329625274E-3,1.5383428228512856E-3,1.9998456697066713E-3,2.5997993706186732E-3,3.3797391818042753E-3,1.644843479817913E-3,2.1382965237632871E-3,2.7797854808922734E-3,3.6137211251599556E-3,4.6978374627079421E-3
50,95702,2.9099999999999998E-3,95565,32.200000000000003,97460,1.8E-3,97373,35.700000000000003,NA,2.9099999999999998E-3,1.8E-3,NA,1.740280512142648E-3,2.2623646657854426E-3,2.9410740655210757E-3,3.8233962851773988E-3,4.9704151707306177E-3,2.4189899118782806E-3,3.1446868854417649E-3,4.0880929510742946E-3,5.3145208363965836E-3,6.9088770873155583E-3,1.275456969660209E-3,1.6580940605582719E-3,2.1555222787257534E-3,2.8021789623434799E-3,3.6428326510465235E-3,1.7728851878276903E-3,2.3047507441759977E-3,2.996175967428797E-3,3.8950287576574364E-3,5.063537384954667E-3
51,95424,3.16E-3,95275,31.3,97284,1.9499999999999999E-3,97190,34.799999999999997,NA,3.16E-3,1.9499999999999999E-3,NA,1.8897891472064495E-3,2.4567258913683844E-3,3.1937436587789001E-3,4.1518667564125703E-3,5.3974267833363414E-3,2.6268069146169648E-3,3.4148489890020546E-3,4.4393036857026712E-3,5.771094791413473E-3,7.5024232288375143E-3,1.3817450504652264E-3,1.7962685656047943E-3,2.3351491352862326E-3,3.035693875872103E-3,3.9464020386337341E-3,1.9206256201466645E-3,2.496813306190664E-3,3.2458572980478633E-3,4.2196144874622225E-3,5.4854988337008897E-3
52,95123,3.4399999999999999E-3,94961,30.4,97094,2.1199999999999999E-3,96993,33.799999999999997,NA,3.4399999999999999E-3,2.1199999999999999E-3,NA,2.0572388184779068E-3,2.6744104640212792E-3,3.4767336032276628E-3,4.5197536841959625E-3,5.8756797894547507E-3,2.8595619576842904E-3,3.7174305449895776E-3,4.8326597084864514E-3,6.2824576210323878E-3,8.1671949073421034E-3,1.5022048753775795E-3,1.9528663379908533E-3,2.5387262393881094E-3,3.3003441112045427E-3,4.2904473445659055E-3,2.0880647767748351E-3,2.7144842098072858E-3,3.5288294727494718E-3,4.5874783145743135E-3,5.9637218089466076E-3
53,94795,3.7499999999999999E-3,94620,29.5,96889,2.2899999999999999E-3,96779,32.9,NA,3.7499999999999999E-3,2.2899999999999999E-3,NA,2.2426295259570209E-3,2.9154183837441271E-3,3.7900438988673658E-3,4.9270570685275763E-3,6.4051741890858481E-3,3.1172550410802588E-3,4.0524315534043367E-3,5.2681610194256377E-3,6.8486093252533298E-3,8.903192122829329E-3,1.6226647002899326E-3,2.1094641103769126E-3,2.7423033434899862E-3,3.5649943465369829E-3,4.6344926504980778E-3,2.2555039334030062E-3,2.9321551134239084E-3,3.8118016474510807E-3,4.9553421416864054E-3,6.4419447841923272E-3
54,94440,4.0699999999999998E-3,94250,28.6,96666,2.49E-3,96548,32,NA,4.0699999999999998E-3,2.49E-3,NA,2.4340005788386861E-3,3.1642007524902921E-3,4.1134609782373802E-3,5.3474992717085943E-3,6.9517490532211724E-3,3.3832608045857734E-3,4.3982390459615054E-3,5.7177107597499574E-3,7.4330239876749457E-3,9.6629311839774284E-3,1.7643821413632892E-3,2.2936967837722763E-3,2.9818058189039591E-3,3.8763475645751475E-3,5.0392518339476911E-3,2.4524911764949721E-3,3.1882385294434638E-3,4.1447100882765035E-3,5.3881231147594553E-3,7.0045600491872913E-3
55,94055,4.4299999999999999E-3,93850,27.7,96426,2.7000000000000001E-3,96297,31,NA,4.4299999999999999E-3,2.7000000000000001E-3,NA,2.6492930133305602E-3,3.4440809173297282E-3,4.4773051925286475E-3,5.8204967502872426E-3,7.5666457753734142E-3,3.6825172885294783E-3,4.7872724750883215E-3,6.2234542176148192E-3,8.0904904828992662E-3,1.0517637627769045E-2,1.9131854544903136E-3,2.4871410908374079E-3,3.2332834180886305E-3,4.2032684435152198E-3,5.4642489765697856E-3,2.6593277817415356E-3,3.4571261162639963E-3,4.4942639511431955E-3,5.8425431364861552E-3,7.5953060774320014E-3
56,93639,4.81E-3,93416,26.8,96165,2.9399999999999999E-3,96026,30.1,NA,4.81E-3,2.9399999999999999E-3,NA,2.8765461386275385E-3,3.7395099802158003E-3,4.8613629742805409E-3,6.3197718665647037E-3,8.2157034265341149E-3,3.9983991326922779E-3,5.1979188724999613E-3,6.7572945342499503E-3,8.7844828945249365E-3,1.1419827762882417E-2,2.0832463837783415E-3,2.708220298911844E-3,3.5206863885853977E-3,4.5768923051610171E-3,5.9499599967093222E-3,2.8957124734518944E-3,3.7644262154874629E-3,4.8937540801337019E-3,6.3618803041738132E-3,8.2704443954259577E-3
57,93188,5.2399999999999999E-3,92947,25.9,95882,3.1900000000000001E-3,95731,29.2,NA,5.2399999999999999E-3,3.1900000000000001E-3,NA,3.1337009909372768E-3,4.0738112882184596E-3,5.2959546746839982E-3,6.8847410770891985E-3,8.9501634002159582E-3,4.3558443774028141E-3,5.6625976906236582E-3,7.3613769978107561E-3,9.5697900971539844E-3,1.2440727126300179E-2,2.2603931851200372E-3,2.9385111406560484E-3,3.8200644828528633E-3,4.9660838277087232E-3,6.4559089760213399E-3,3.1419465273168517E-3,4.084530485511907E-3,5.3098896311654801E-3,6.9028565205151247E-3,8.9737134766696616E-3
58,92700,5.7000000000000002E-3,92439,25.1,95576,3.47E-3,95412,28.3,NA,5.7000000000000002E-3,3.47E-3,NA,3.4087968794546714E-3,4.4314359432910729E-3,5.760866726278395E-3,7.4891267441619148E-3,9.7358647674104879E-3,4.738227662441993E-3,6.1596959611745911E-3,8.0076047495269698E-3,1.040988617438506E-2,1.3532852026700579E-2,2.4587976026227364E-3,3.1964368834095573E-3,4.1553679484324247E-3,5.4019783329621535E-3,7.0225718328507988E-3,3.4177286676456034E-3,4.4430472679392848E-3,5.77596144832107E-3,7.5087498828173924E-3,9.76137484766261E-3
59,92171,6.2100000000000002E-3,91889,24.2,95244,3.7799999999999999E-3,95066,27.4,NA,6.2100000000000002E-3,3.7799999999999999E-3,NA,3.7137944949848264E-3,4.8279328434802744E-3,6.2763126965243573E-3,8.1592065054816656E-3,1.0606968457126165E-2,5.1621743480289081E-3,6.710826652437581E-3,8.7240746481688555E-3,1.1341297042619514E-2,1.4743686155405366E-2,2.6784596362864391E-3,3.481997527172371E-3,4.5265967853240826E-3,5.8845758209213079E-3,7.6499485671977004E-3,3.7230588944381503E-3,4.8399765627695959E-3,6.2919695316004743E-3,8.1795603910806182E-3,1.0633428508404803E-2
60,91599,6.7799999999999996E-3,91292,23.4,94884,4.1099999999999999E-3,94692,26.5,NA,6.7799999999999996E-3,4.1099999999999999E-3,NA,4.0546741829302927E-3,5.2710764378093812E-3,6.8523993691521953E-3,8.9081191798978544E-3,1.1580554933867211E-2,5.6359971142731068E-3,7.3267962485550394E-3,9.5248351231215517E-3,1.2382285660058018E-2,1.6096971358075425E-2,2.9122934140574774E-3,3.7859814382747207E-3,4.9217758697571376E-3,6.3983086306842792E-3,8.3178012198895628E-3,4.048087845539893E-3,5.262514199201861E-3,6.8412684589624195E-3,8.8936489966511476E-3,1.1561743695646491E-2
61,90978,7.4000000000000003E-3,90646,22.5,94494,4.47E-3,94285,25.6,NA,7.4000000000000003E-3,4.47E-3,NA,4.4254555978885208E-3,5.753092277255077E-3,7.4790199604316005E-3,9.7227259485610819E-3,1.2639543733129407E-2,6.1513832810650435E-3,7.9967982653845575E-3,1.0395837744999924E-2,1.3514589068499904E-2,1.7568965789049873E-2,3.1673848079895191E-3,4.1176002503863747E-3,5.3528803255022883E-3,6.9587444231529755E-3,9.046367750098868E-3,4.4026648831054314E-3,5.7234643480370611E-3,7.4405036524481799E-3,9.6726547481826349E-3,1.2574451172637426E-2
62,90304,8.09E-3,89944,21.7,94071,4.8599999999999997E-3,93845,24.7,NA,8.09E-3,4.8599999999999997E-3,NA,4.8380994306646127E-3,6.2895292598639969E-3,8.1763880378231957E-3,1.0629304449170157E-2,1.3818095783921203E-2,6.7249582086238114E-3,8.7424456712109546E-3,1.1365179372574242E-2,1.4774733184346517E-2,1.9207153139650473E-2,3.4437338180825644E-3,4.4768539635073341E-3,5.8199101525595346E-3,7.565883198327396E-3,9.8356481578256143E-3,4.7867900071347641E-3,6.2228270092751937E-3,8.089675112057753E-3,1.0516577645675079E-2,1.3671550939377603E-2
63,89574,8.8400000000000006E-3,89184,20.9,93614,5.2900000000000004E-3,93369,23.8,NA,8.8400000000000006E-3,5.2900000000000004E-3,NA,5.2866253358560171E-3,6.8726129366128222E-3,8.9343968175966699E-3,1.1614715862875673E-2,1.5099130621738373E-2,7.3484092168398631E-3,9.5529319818918219E-3,1.241881157645937E-2,1.6144455049397183E-2,2.0987791564216336E-2,3.7484263163902816E-3,4.8729542113073662E-3,6.334840474699577E-3,8.2352926171094503E-3,1.0705880402242286E-2,5.210312579782491E-3,6.7734063537172387E-3,8.8054282598324114E-3,1.1447056737782136E-2,1.4881173759116776E-2
64,88782,9.6799999999999994E-3,88358,20,93119,5.7499999999999999E-3,92855,23,NA,9.6799999999999994E-3,5.7499999999999999E-3,NA,5.7889743496703887E-3,7.5256666545715058E-3,9.7833666509429575E-3,1.2718376646225847E-2,1.6533889640093599E-2,8.0466743460418395E-3,1.0460676649854391E-2,1.359887964481071E-2,1.7678543538253925E-2,2.2982106599730101E-2,4.0743764308590015E-3,5.2966893601167023E-3,6.8856961681517132E-3,8.9514050185972287E-3,1.1636826524176396E-2,5.6633832388940115E-3,7.3623982105622153E-3,9.5711176737308806E-3,1.2442452975850147E-2,1.6175188868605188E-2
65,87923,1.06E-2,87463,19.2,92584,6.2599999999999999E-3,92298,22.1,NA,1.06E-2,6.2599999999999999E-3,NA,6.3391661267051778E-3,8.2409159647167315E-3,1.0713190754131751E-2,1.392714798037128E-2,1.8105292374482662E-2,8.8114409161201973E-3,1.1454873190956257E-2,1.4891335148243135E-2,1.9358735692716077E-2,2.5166356400530901E-2,4.4357559055960604E-3,5.7664826772748784E-3,7.4964274804573431E-3,9.7453557245945465E-3,1.266896244197291E-2,6.1657007087785234E-3,8.0154109214120809E-3,1.0420034197835706E-2,1.3546044457186419E-2,1.7609857794342345E-2
66,86991,1.163E-2,86492,18.399999999999999,92005,6.8300000000000001E-3,91695,21.2,NA,1.163E-2,6.8300000000000001E-3,NA,6.95514170316804E-3,9.0416842141184516E-3,1.1754189478353988E-2,1.5280446321860187E-2,1.9864580218418242E-2,9.6676469674035741E-3,1.2567941057624647E-2,1.6338323374912041E-2,2.1239820387385658E-2,2.7611766503601354E-2,4.8396506126551263E-3,6.2915457964516641E-3,8.1790095353871644E-3,1.0632712396003314E-2,1.3822526114804308E-2,6.7271143515906249E-3,8.7452486570678122E-3,1.1368823254188157E-2,1.4779470230444606E-2,1.9213311299577988E-2
67,85979,1.2749999999999999E-2,85438,17.600000000000001,91376,7.4999999999999997E-3,91038,20.399999999999999,NA,1.2749999999999999E-2,7.4999999999999997E-3,NA,7.6249403882538693E-3,9.9124225047300309E-3,1.2886149256149041E-2,1.6751994032993756E-2,2.1777592242891879E-2,1.0598667139672878E-2,1.3778267281574743E-2,1.7911747466047165E-2,2.3285271705861321E-2,3.0270853217619714E-2,5.3144040402508712E-3,6.9087252523261332E-3,8.9813428280239738E-3,1.1675745676431168E-2,1.5178469379360515E-2,7.3870216159487101E-3,9.6031281007333234E-3,1.2484066530953321E-2,1.622928649023932E-2,2.1098072437311113E-2
68,84883,1.3990000000000001E-2,84297,16.899999999999999,90691,8.2699999999999996E-3,90321,19.5,NA,1.3990000000000001E-2,8.2699999999999996E-3,NA,8.3665032181703264E-3,1.0876454183621424E-2,1.4139390438707853E-2,1.8381207570320211E-2,2.3895569841416272E-2,1.1629439473256753E-2,1.5118271315233779E-2,1.9653752709803914E-2,2.5549878522745092E-2,3.3214842079568617E-2,5.8600161883832933E-3,7.6180210448982813E-3,9.9034273583677671E-3,1.2874455565878098E-2,1.6736792235641527E-2,8.1454225018527775E-3,1.0589049252408611E-2,1.3765764028131195E-2,1.7895493236570557E-2,2.3264141207541722E-2
69,83695,1.536E-2,83061,16.100000000000001,89941,9.1599999999999997E-3,89535,18.7,NA,1.536E-2,9.1599999999999997E-3,NA,9.1858105383199572E-3,1.1941553699815945E-2,1.5524019809760729E-2,2.018122575268895E-2,2.6235593478495634E-2,1.2768276648264739E-2,1.6598759642744161E-2,2.1578387535567411E-2,2.8051903796237638E-2,3.6467474935108928E-2,6.4906588011597304E-3,8.4378564415076504E-3,1.0969213373959945E-2,1.4259977386147931E-2,1.8537970601992311E-2,9.0220157336120248E-3,1.1728620453695634E-2,1.5247206589804323E-2,1.9821368566745622E-2,2.5767779136769309E-2
70,82409,1.6899999999999998E-2,81722,15.3,89117,1.0189999999999999E-2,88670,17.899999999999999,NA,1.6899999999999998E-2,1.0189999999999999E-2,NA,1.0106783730312973E-2,1.3138818849406864E-2,1.7080464504228926E-2,2.2204603855497607E-2,2.8865985012146888E-2,1.4048429385135031E-2,1.8262958200675541E-2,2.3741845660878204E-2,3.0864399359141668E-2,4.0123719166884168E-2,7.2205036226875166E-3,9.3866547094937722E-3,1.2202651122341904E-2,1.5863446459044479E-2,2.062248039675782E-2,1.0036500035535648E-2,1.3047450046196342E-2,1.6961685060055246E-2,2.2050190578071824E-2,2.8665247751493369E-2
71,81016,1.865E-2,80271,14.6,88209,1.1379999999999999E-2,87715,17,NA,1.865E-2,1.1379999999999999E-2,NA,1.1153344175759581E-2,1.4499347428487457E-2,1.8849151657033693E-2,2.4503897154143806E-2,3.1855066300386946E-2,1.5503148404305818E-2,2.0154092925597562E-2,2.6200320803276833E-2,3.406041704425989E-2,4.4278542157537855E-2,8.0637223970739889E-3,1.0482839116196185E-2,1.3627690851055042E-2,1.7715998106371558E-2,2.3030797538283024E-2,1.1208574131932844E-2,1.4571146371512697E-2,1.8942490282966507E-2,2.4625237367856462E-2,3.2012808578213404E-2
72,79505,2.0660000000000001E-2,78695,13.9,87205,1.274E-2,86659,16.2,NA,2.0660000000000001E-2,1.274E-2,NA,1.2355393601672546E-2,1.6062011682174311E-2,2.0880615186826604E-2,2.7144799742874589E-2,3.5288239665736965E-2,1.7173997106324838E-2,2.2326196238222289E-2,2.902405510968898E-2,3.7731271642595675E-2,4.9050653135374378E-2,9.027400996372812E-3,1.1735621295284656E-2,1.5256307683870055E-2,1.9833199989031072E-2,2.5783159985740392E-2,1.2548087384958207E-2,1.631251360044567E-2,2.1206267680579372E-2,2.7568147984753186E-2,3.5838592380179141E-2
73,77862,2.298E-2,76980,13.1,86095,1.4279999999999999E-2,85490,15.4,NA,2.298E-2,1.4279999999999999E-2,NA,1.3742833735064623E-2,1.786568385558401E-2,2.3225389012259217E-2,3.0193005715936985E-2,3.9250907430718081E-2,1.9102538891739827E-2,2.4833300559261775E-2,3.2283290727040309E-2,4.1968277945152406E-2,5.4558761328698129E-2,1.0118625292637658E-2,1.3154212880428956E-2,1.7100476744557645E-2,2.2230619767924939E-2,2.889980569830242E-2,1.4064889156766344E-2,1.8284355903796248E-2,2.3769662674935122E-2,3.0900561477415663E-2,4.0170729920640358E-2
74,76073,2.564E-2,75112,12.4,84865,1.5980000000000001E-2,84198,14.6,NA,2.564E-2,1.5980000000000001E-2,NA,1.533360561214347E-2,1.9933687295786512E-2,2.5913793484522465E-2,3.3687931529879214E-2,4.3794310988842969E-2,2.1313711800879421E-2,2.7707825341143247E-2,3.6020172943486223E-2,4.6826224826532099E-2,6.0874092274491726E-2,1.132322354176119E-2,1.4720190604289548E-2,1.9136247785576412E-2,2.4877122121249342E-2,3.2340258757624141E-2,1.5739280723048053E-2,2.046106493996247E-2,2.6599384421951214E-2,3.4579199748536578E-2,4.4952959673097551E-2
75,74122,2.869E-2,73074,11.8,83509,1.7829999999999999E-2,82776,13.9,NA,2.869E-2,1.7829999999999999E-2,NA,1.7157610959921847E-2,2.2304894247898402E-2,2.8996362522267925E-2,3.7695271278948304E-2,4.9003852662632796E-2,2.3849079234291366E-2,3.1003803004578778E-2,4.0304943905952413E-2,5.2396427077738145E-2,6.8115355201059588E-2,1.2634109871689737E-2,1.6424342833196659E-2,2.1351645683155656E-2,2.7757139388102359E-2,3.6084281204533067E-2,1.7561412721648732E-2,2.2829836538143352E-2,2.967878749958636E-2,3.8582423749462275E-2,5.0157150874300956E-2
76,71995,3.218E-2,70853,11.1,82020,1.992E-2,81215,13.1,NA,3.218E-2,1.992E-2,NA,1.9244751505412511E-2,2.5018176957036266E-2,3.2523630044147149E-2,4.2280719057391294E-2,5.4964934774608683E-2,2.6750204592523388E-2,3.4775265970280404E-2,4.520784576136453E-2,5.8770199489773897E-2,7.6401259336706065E-2,1.4115057130906314E-2,1.834957427017821E-2,2.3854446551231673E-2,3.101078051660118E-2,4.0314014671581529E-2,1.9619929411959777E-2,2.5505908235547711E-2,3.3157680706212028E-2,4.3104984918075642E-2,5.6036480393498331E-2
77,69679,3.6139999999999999E-2,68437,10.4,80386,2.2349999999999998E-2,79502,12.4,NA,3.6139999999999999E-2,2.2349999999999998E-2,NA,2.1612968284823127E-2,2.8096858770270065E-2,3.652591640135109E-2,4.7483691321756422E-2,6.1728798718283344E-2,3.0042025915904144E-2,3.905463369067539E-2,5.0771023797878012E-2,6.6002330937241421E-2,8.5803030218413845E-2,1.5836924039947596E-2,2.0588001251931876E-2,2.6764401627511439E-2,3.4793722115764876E-2,4.5231838750494337E-2,2.2013324415527159E-2,2.8617321740185307E-2,3.72025182622409E-2,4.8363273740913176E-2,6.2872255863187135E-2
78,67160,4.061E-2,65814,9.8000000000000007,78589,2.5229999999999999E-2,77614,11.6,NA,4.061E-2,2.5229999999999999E-2,NA,2.4286182679763898E-2,3.1572037483693069E-2,4.1043648728800994E-2,5.3356743347441296E-2,6.9363766351673684E-2,3.3757793924871812E-2,4.3885132102333357E-2,5.7050671733033367E-2,7.4165873252943396E-2,9.6415635228826402E-2,1.787765519140393E-2,2.3240951748825109E-2,3.0213237273472644E-2,3.9277208455514447E-2,5.1060370992168772E-2,2.4849940716051462E-2,3.2304922930866904E-2,4.1996399810126976E-2,5.4595319753165075E-2,7.0973915679114596E-2
79,64433,4.564E-2,62980,9.1999999999999993,76606,2.8649999999999998E-2,75528,10.9,NA,4.564E-2,2.8649999999999998E-2,NA,2.7294296417247579E-2,3.5482585342421852E-2,4.6127360945148417E-2,5.9965569228692943E-2,7.7955239997300821E-2,3.7939072019974131E-2,4.9320793625966371E-2,6.4117031713756281E-2,8.3352141227883189E-2,0.10835778359624813,2.0301023433758326E-2,2.6391330463885823E-2,3.4308729603051577E-2,4.4601348483967053E-2,5.7981753029157167E-2,2.8218422572924069E-2,3.6683949344801292E-2,4.7689134148241684E-2,6.1995874392714194E-2,8.0594636710528453E-2
80,61492,5.126E-2,59934,8.6,74412,3.2710000000000003E-2,73216,10.199999999999999,NA,5.126E-2,3.2710000000000003E-2,NA,3.0655250533481834E-2,3.9851825693526383E-2,5.1807373401584304E-2,6.7349585422059599E-2,8.7554461048677479E-2,4.2610798241539745E-2,5.539403771400167E-2,7.2012249028202177E-2,9.3615923736662846E-2,0.12170070085766169,2.3177887487547469E-2,3.013125373381171E-2,3.9170629853955224E-2,5.0921818810141802E-2,6.6198364453184333E-2,3.2217263607690977E-2,4.1882442689998273E-2,5.4447175496997756E-2,7.0781328146097097E-2,9.2015726589926211E-2
81,58340,5.7590000000000002E-2,56677,8.1,71978,3.7530000000000001E-2,70650,9.6,NA,5.7590000000000002E-2,3.7530000000000001E-2,NA,3.4440809173297289E-2,4.4773051925286481E-2,5.8204967502872428E-2,7.5666457753734165E-2,9.836639507985441E-2,4.7872724750883229E-2,6.2234542176148197E-2,8.0904904828992666E-2,0.10517637627769048,0.13672928916099761,2.659327781741536E-2,3.457126116263997E-2,4.4942639511431959E-2,5.8425431364861558E-2,7.5953060774320028E-2,3.6964656166207345E-2,4.8054053016069548E-2,6.2470268920890422E-2,8.1211349597157562E-2,0.10557475447630482
