Select option,NA,3,1 = Carry 2021 forward; 2 = EPS (slow growth); 3 = EPS exc COVID (higher growth),NA,NA,NA,NA,NA,NA,NA,Option 1: Carry 2021 forward,NA,NA,NA,NA,NA,NA,NA,NA,NA,Option 2,Exponential smoothing,NA,NA,NA,NA,NA,NA,NA,NA,Option 3,Exponential smoothing excluding COVID,NA,NA,NA,NA,NA,NA,NA
Cal factor,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cal factor,1.2751151584448992,1.0968515605889055,1.1153087250456681,1.0564986174632112,1.3126654964262974,1.1501174932015772,1.0720297656347886,0.98357405135158948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Year,female4554,female5564,female6574,female75,male4554,male5564,male6574,male75,NA,NA,Year,female4554,female5564,female6574,female75,male4554,male5564,male6574,male75,NA,Year,female4554,female5564,female6574,female75,male4554,male5564,male6574,male75,NA,Year,female4554,female5564,female6574,female75,male4554,male5564,male6574,male75
2021,126.47480715167463,507.91249973245573,1030.3765002745704,824.32741612047971,103.07435874841293,517.05501207479517,971.82376481045935,855.04611862923321,NA,NA,2021,126.47480715167463,507.91249973245573,1030.3765002745704,824.32741612047971,103.07435874841293,517.05501207479517,971.82376481045935,855.04611862923321,NA,2021,126.47480715167463,507.91249973245573,1030.3765002745704,824.32741612047971,103.07435874841293,517.05501207479517,971.82376481045935,855.04611862923321,NA,2021,126.47480715167463,507.91249973245573,1030.3765002745704,824.32741612047971,103.07435874841293,517.05501207479517,971.82376481045935,855.04611862923321
2022,129.56010711222572,545.10099501126763,1171.5375969810652,892.63676381954588,109.58579380632005,572.10185904998582,1049.8566800826504,910.09693204796429,NA,NA,2022,126.47480715167463,507.91249973245573,1030.3765002745704,824.32741612047971,103.07435874841293,517.05501207479517,971.82376481045935,855.04611862923321,NA,2022,121.96514514047342,497.32709240417307,1013.6731755142516,807.15017489618947,103.8877680604397,526.55672743381012,973.96550131957838,848.16899358225999,NA,2022,129.56010711222572,545.10099501126763,1171.5375969810652,892.63676381954588,109.58579380632005,572.10185904998582,1049.8566800826504,910.09693204796429
2023,131.36102081061816,549.66303125192564,1188.0208779233071,903.29407077614951,112.80078873733414,588.98226295699942,1070.8048760256422,917.77896672517625,NA,NA,2023,126.47480715167463,507.91249973245573,1030.3765002745704,824.32741612047971,103.07435874841293,517.05501207479517,971.82376481045935,855.04611862923321,NA,2023,122.9242200127885,495.01287845660528,1009.5379802297128,806.67711277611136,106.35046699797365,537.52376374408448,985.5902011572889,847.33920378701384,NA,2023,131.36102081061816,549.66303125192564,1188.0208779233071,903.29407077614951,112.80078873733414,588.98226295699942,1070.8048760256422,917.77896672517625
2024,133.16193450901062,554.22506749258366,1204.5041588655492,913.95137773275314,116.01578366834823,605.86266686401314,1091.753071968634,925.46100140238832,NA,NA,2024,126.47480715167463,507.91249973245573,1030.3765002745704,824.32741612047971,103.07435874841293,517.05501207479517,971.82376481045935,855.04611862923321,NA,2024,123.88329488510355,492.69866450903743,1005.4027849451739,806.20405065603336,108.81316593550761,548.49080005435871,997.21490099499943,846.5094139917677,NA,2024,133.16193450901062,554.22506749258366,1204.5041588655492,913.95137773275314,116.01578366834823,605.86266686401314,1091.753071968634,925.46100140238832
2025,134.96284820740306,558.78710373324168,1220.9874398077914,924.60868468935689,119.23077859936234,622.74307077102674,1112.701267911626,933.14303607960028,NA,NA,2025,126.47480715167463,507.91249973245573,1030.3765002745704,824.32741612047971,103.07435874841293,517.05501207479517,971.82376481045935,855.04611862923321,NA,2025,124.84236975741862,490.38445056146958,1001.2675896606352,805.73098853595525,111.27586487304157,559.45783636463307,1008.8396008327099,845.67962419652156,NA,2025,134.96284820740306,558.78710373324168,1220.9874398077914,924.60868468935689,119.23077859936234,622.74307077102674,1112.701267911626,933.14303607960028
2026,136.76376190579552,563.34913997389981,1237.4707207500333,935.26599164596053,122.44577353037643,639.62347467804034,1133.6494638546178,940.82507075681224,NA,NA,2026,126.47480715167463,507.91249973245573,1030.3765002745704,824.32741612047971,103.07435874841293,517.05501207479517,971.82376481045935,855.04611862923321,NA,2026,125.80144462973368,488.07023661390178,997.13239437609627,805.25792641587714,113.73856381057553,570.42487267490731,1020.4643006704204,844.84983440127542,NA,2026,136.76376190579552,563.34913997389981,1237.4707207500333,935.26599164596053,122.44577353037643,639.62347467804034,1133.6494638546178,940.82507075681224
2027,138.56467560418795,567.91117621455783,1253.9540016922754,945.92329860256427,125.66076846139052,656.50387858505394,1154.5976597976096,948.50710543402431,NA,NA,2027,126.47480715167463,507.91249973245573,1030.3765002745704,824.32741612047971,103.07435874841293,517.05501207479517,971.82376481045935,855.04611862923321,NA,2027,126.76051950204875,485.75602266633393,992.99719909155738,804.78486429579903,116.20126274810949,581.39190898518166,1032.089000508131,844.02004460602916,NA,2027,138.56467560418795,567.91117621455783,1253.9540016922754,945.92329860256427,125.66076846139052,656.50387858505394,1154.5976597976096,948.50710543402431
2028,140.36558930258042,572.47321245521584,1270.4372826345173,956.58060555916791,128.87576339240462,673.38428249206754,1175.5458557406016,956.18914011123627,NA,NA,2028,126.47480715167463,507.91249973245573,1030.3765002745704,824.32741612047971,103.07435874841293,517.05501207479517,971.82376481045935,855.04611862923321,NA,2028,127.71959437436381,483.44180871876608,988.8620038070186,804.31180217572103,118.66396168564344,592.3589452954559,1043.7137003458415,843.19025481078302,NA,2028,140.36558930258042,572.47321245521584,1270.4372826345173,956.58060555916791,128.87576339240462,673.38428249206754,1175.5458557406016,956.18914011123627
2029,142.16650300097285,577.03524869587386,1286.9205635767594,967.23791251577154,132.0907583234187,690.26468639908126,1196.4940516835934,963.87117478844834,NA,NA,2029,126.47480715167463,507.91249973245573,1030.3765002745704,824.32741612047971,103.07435874841293,517.05501207479517,971.82376481045935,855.04611862923321,NA,2029,128.67866924667888,481.12759477119829,984.7268085224797,803.83874005564292,121.1266606231774,603.32598160573025,1055.338400183552,842.36046501553687,NA,2029,142.16650300097285,577.03524869587386,1286.9205635767594,967.23791251577154,132.0907583234187,690.26468639908126,1196.4940516835934,963.87117478844834
2030,143.96741669936532,581.59728493653188,1303.4038445190015,977.89521947237529,135.3057532544328,707.14509030609486,1217.4422476265852,971.5532094656603,NA,NA,2030,126.47480715167463,507.91249973245573,1030.3765002745704,824.32741612047971,103.07435874841293,517.05501207479517,971.82376481045935,855.04611862923321,NA,2030,129.63774411899394,478.81338082363044,980.59161323794092,803.3656779355648,123.58935956071136,614.29301791600449,1066.9631000212623,841.53067522029073,NA,2030,143.96741669936532,581.59728493653188,1303.4038445190015,977.89521947237529,135.3057532544328,707.14509030609486,1217.4422476265852,971.5532094656603
